;temperament;min_height;max_height;min_weight;max_weight;energy_level_value;energy_level_category
Komondor;Loyal, Dignified, Brave;64.77;69.85;36.287389600000004;45.359237;0.6;Regular Exercise
Kromfohrlander;Intelligent, Active, Sensitive;38.1;45.72;9.071847400000001;15.875732950000002;0.6;Regular Exercise
Kuvasz;Loyal, Fearless, Sweet;66.04;76.2;31.751465900000003;52.163122550000004;0.6;Regular Exercise
Labrador Retriever;Friendly, Active, Outgoing;54.61;62.230000000000004;24.947580350000003;36.287389600000004;1.0;Needs Lots of Activity
Lagotto Romagnolo;Affectionate, Keen, Undemanding;40.64;48.26;10.886216880000001;15.875732950000002;0.6;Regular Exercise
Lakeland Terrier;Friendly, Confident, Bold;35.56;38.1;7.71107029;7.71107029;0.6;Regular Exercise
Lancashire Heeler;Affectionate, Versatile, Intelligent;25.40;30.48;4.082331330000001;7.71107029;0.8;Energetic
Lapponian Herder;Friendly, Energetic, Intelligent;45.72;50.8;31.751465900000003;31.751465900000003;0.6;Regular Exercise
Leonberger;Friendly, Gentle, Playful;64.77;80.01;40.8233133;77.1107029;0.6;Regular Exercise
Lhasa Apso;Confident, Smart, Comical;25.40;27.94;5.4431084400000005;8.164662660000001;0.6;Regular Exercise
Löwchen;Affectionate, Outgoing, Positive;27.94;33.02;4.535923700000001;6.80388555;0.6;Regular Exercise
Maltese;Gentle, Playful, Charming;17.78;22.86;3.17514659;3.17514659;0.6;Regular Exercise
Manchester Terrier (Standard);Spirited, Bright, Keenly Observant;38.1;40.64;5.4431084400000005;9.979032140000001;0.6;Regular Exercise
Manchester Terrier (Toy);Agile, Spirited, Intelligent;25.40;30.48;5.4431084400000005;5.4431084400000005;0.6;Regular Exercise
Mastiff;Courageous, Dignified, Good-Natured;69.85;76.2;54.4310844;104.32624510000001;0.6;Regular Exercise
Miniature American Shepherd;Good-Natured, Intelligent, Devoted;33.02;45.72;9.071847400000001;18.143694800000002;0.8;Energetic
Miniature Bull Terrier;Upbeat, Mischievous, Comical;25.40;35.56;8.164662660000001;12.70058636;0.8;Energetic
Miniature Pinscher;Fearless, Fun-Loving, Proud;25.40;31.75;3.62873896;4.535923700000001;0.6;Regular Exercise
Miniature Schnauzer;Friendly, Smart, Obedient;30.48;35.56;4.9895160700000005;9.071847400000001;0.6;Regular Exercise
Mountain Cur;Intelligent, Strong-Willed, Reserved with Strangers;40.64;66.04;13.6077711;27.2155422;1.0;Needs Lots of Activity
Mudi;Loyal, Intelligent, Active;38.1;46.99;8.164662660000001;13.15417873;1.0;Needs Lots of Activity
Neapolitan Mastiff;Loyal, Dignified, Watchful;60.96;78.74;49.895160700000005;68.0388555;0.6;Regular Exercise
Nederlandse Kooikerhondje;Friendly, Alert, Quick;35.56;43.18;9.071847400000001;13.6077711;0.6;Regular Exercise
Newfoundland;Sweet, Patient, Devoted;66.04;71.12;45.359237;68.0388555;0.6;Regular Exercise
Norfolk Terrier;Fearless, Alert, Fun-Loving;22.86;25.40;4.9895160700000005;5.4431084400000005;0.6;Regular Exercise
Norrbottenspets;Fearless, Agile, Attentive;41.910000000000004;45.72;9.071847400000001;13.6077711;0.8;Energetic
Norwegian Buhund;Confident, Smart, Perceptive;40.64;46.99;11.793401620000001;18.143694800000002;0.8;Energetic
Norwegian Elkhound;Friendly, Confident, Dependable;49.53;52.07;21.772433760000002;24.947580350000003;0.6;Regular Exercise
Norwegian Lundehund;Loyal, Energetic, Alert;30.48;38.1;9.071847400000001;13.6077711;0.8;Energetic
Norwich Terrier;Affectionate, Alert, Curious;25.40;25.40;5.4431084400000005;5.4431084400000005;0.8;Energetic
Nova Scotia Duck Tolling Retriever;Affectionate, Intelligent, Outgoing;43.18;53.34;15.875732950000002;22.6796185;1.0;Needs Lots of Activity
Old English Sheepdog;Adaptable, Gentle, Smart;53.34;55.88;27.2155422;45.359237;0.6;Regular Exercise
Otterhound;Even-Tempered, Amiable, Boisterous;60.96;68.58;36.287389600000004;52.163122550000004;0.6;Regular Exercise
Papillon;Friendly, Alert, Happy;20.32;27.94;2.2679618500000003;4.535923700000001;0.6;Regular Exercise
Parson Russell Terrier;Friendly, Clever, Athletic;33.02;35.56;5.8967008100000005;7.71107029;1.0;Needs Lots of Activity
Pekingese;Affectionate, Loyal, Regal in Manner;15.24;22.86;6.35029318;6.35029318;0.4;Calm
Pembroke Welsh Corgi;Affectionate, Smart, Alert;25.40;30.48;12.70058636;13.6077711;0.8;Energetic
Perro de Presa Canario;Confident, Calm, Strong-Willed;55.88;66.04;38.10175908;49.895160700000005;0.4;Calm
Peruvian Inca Orchid;Affectionate, Loyal, Noble;24.765;65.405;3.855535145;24.947580350000003;0.8;Energetic
Petit Basset Griffon Vendéen;Alert, Happy, Vivacious;33.02;38.1;11.33980925;18.143694800000002;0.8;Energetic
Pharaoh Hound;Friendly, Smart, Noble;53.34;63.5;20.41165665;24.947580350000003;0.8;Energetic
Plott Hound;Loyal, Alert, Intelligent;50.8;63.5;18.143694800000002;27.2155422;0.8;Energetic
Pointer;Loyal, Hardworking, Even-Tempered;58.42;71.12;20.41165665;34.01942775;0.8;Energetic
Polish Lowland Sheepdog;Confident, Clever, Lively;43.18;50.8;13.6077711;22.6796185;0.8;Energetic
Pomeranian;Inquisitive, Bold, Lively;15.24;17.78;1.3607771100000001;3.17514659;0.6;Regular Exercise
Poodle (Miniature);Active, Proud, Very Smart;25.40;38.1;4.535923700000001;6.80388555;;
Poodle (Standard);Active, Proud, Very Smart;38.1;38.1;18.143694800000002;31.751465900000003;0.6;Regular Exercise
Poodle (Toy);Agile, Intelligent, Self-Confident;25.40;25.40;1.81436948;2.7215542200000002;0.6;Regular Exercise
Porcelaine;Independent, Energetic, Powerful;55.88;58.42;24.947580350000003;28.12272694;0.8;Energetic
Portuguese Podengo;Independent, Alert, Intelligent;40.64;71.12;15.875732950000002;29.937096420000003;0.8;Energetic
Portuguese Podengo Pequeno;Playful, Charming, Lively;20.32;30.48;4.082331330000001;5.8967008100000005;0.8;Energetic
Portuguese Pointer;Affectionate, Smart, Energetic;52.07;55.88;15.875732950000002;26.761949830000002;0.8;Energetic
Portuguese Sheepdog;Intelligent, Devoted, Lively;41.910000000000004;54.61;17.009713875;26.761949830000002;0.8;Energetic
Portuguese Water Dog;Affectionate, Adventurous, Athletic;43.18;58.42;15.875732950000002;27.2155422;0.8;Energetic
Pudelpointer;Friendly, Smart, Willing to Please;55.88;66.04;20.41165665;31.751465900000003;0.6;Regular Exercise
Pug;Charming, Mischievous, Loving;25.40;33.02;6.35029318;8.164662660000001;0.6;Regular Exercise
Puli;Loyal, Smart, Home-Loving;40.64;43.18;11.33980925;15.875732950000002;0.6;Regular Exercise
Pumi;Energetic, Lively, Ready to Work;38.1;46.99;9.979032140000001;13.15417873;0.8;Energetic
Pyrenean Mastiff;Gentle, Brave, Noble;63.5;78.74;54.4310844;108.8621688;0.4;Calm
Pyrenean Shepherd;Affectionate, Active, Enthusiastic;38.1;53.34;6.80388555;13.6077711;0.8;Energetic
Rafeiro do Alentejo;Confident, Calm, Powerful;63.5;73.66;34.926612490000004;59.874192840000006;0.4;Calm
Rat Terrier;Friendly, Inquisitive, Lovable;25.40;45.72;4.535923700000001;11.33980925;0.6;Regular Exercise
Redbone Coonhound;Even-Tempered, Amiable, Eager to Please;53.34;68.58;20.41165665;31.751465900000003;0.6;Regular Exercise
Rhodesian Ridgeback;Affectionate, Dignified, Even-Tempered;60.96;68.58;31.751465900000003;38.55535145;0.6;Regular Exercise
Romanian Mioritic Shepherd Dog;Loyal, Independent, Confident Guardian;57.15;73.66;45.359237;58.9670081;0.6;Regular Exercise
Rottweiler;Loyal, Loving, Confident Guardian;55.88;68.58;36.287389600000004;61.23496995;0.6;Regular Exercise
Russell Terrier;Alert, Inquisitive, Lively;25.40;30.48;4.082331330000001;6.80388555;1.0;Needs Lots of Activity
Russian Toy;Loyal, Smart, Charming;20.32;27.94;2.9483504050000002;2.9483504050000002;0.6;Regular Exercise
Russian Tsvetnaya Bolonka;Playful, Charming, Inquisitive;22.86;25.40;2.0411656650000003;4.9895160700000005;0.6;Regular Exercise
Saint Bernard;Playful, Charming, Inquisitive;66.04;76.2;54.4310844;81.6466266;0.6;Regular Exercise
Saluki;Gentle, Dignified, Independent-Minded;58.42;71.12;18.143694800000002;29.48350405;0.8;Energetic
Samoyed;Adaptable, Friendly, Gentle;48.26;59.69;15.875732950000002;29.48350405;0.8;Energetic
Schapendoes;Friendly, Watchful, Lively;40.64;50.8;11.793401620000001;24.947580350000003;0.6;Regular Exercise
Schipperke;Confident, Alert, Curious;25.40;33.02;4.535923700000001;7.25747792;0.8;Energetic
Scottish Deerhound;Gentle, Dignified, Polite;71.12;81.28;34.01942775;49.895160700000005;0.6;Regular Exercise
Scottish Terrier;Confident, Independent, Spirited;25.40;25.40;8.164662660000001;9.979032140000001;0.6;Regular Exercise
Sealyham Terrier;Alert, Outgoing, Sense Of Humor;26.67;26.67;10.43262451;10.886216880000001;0.6;Regular Exercise
Segugio Italiano;Friendly, Intelligent, Eager to Please;48.26;58.42;18.143694800000002;27.2155422;;
Shetland Sheepdog;Playful, Energetic, Bright;33.02;40.64;6.80388555;11.33980925;0.6;Regular Exercise
Shiba Inu;Alert, Active, Attentive;34.29;41.910000000000004;7.71107029;10.43262451;0.6;Regular Exercise
Shih Tzu;Affectionate, Playful, Outgoing;22.86;26.67;4.082331330000001;7.25747792;0.6;Regular Exercise
Shikoku;Energetic, Alert, Enthusiastic;43.18;55.88;15.875732950000002;24.947580350000003;0.6;Regular Exercise
Siberian Husky;Loyal, Mischievous, Outgoing;50.8;59.69;15.875732950000002;27.2155422;0.8;Energetic
Silky Terrier;Friendly, Quick, Keenly Alert;22.86;25.40;4.535923700000001;4.535923700000001;0.6;Regular Exercise
